id_propiedad,zona,anillo_vial,estrato_socioeconomico,latitud,longitud,distancia_centro_km,distancia_av_banzer_km,tipo_propiedad,superficie_total_m2,superficie_construida_m2,habitaciones,banos,pisos,garage_vehiculos,antiguedad_anos,estado_conservacion,material_construccion,orientacion,tiene_piscina,tiene_jardin,amueblado,tiene_ascensor,seguridad_24h,precio_m2_usd,precio_total_usd,precio_total_bs,fecha_publicacion,disponible
SC-00019,Sur (Doble Vía La Guardia),4,Medio,-17.808856,-63.16589,4.57,8.75,Casa,263,109,2,2,3,0,38,Regular,Ladrillo,Noreste,0,0,0,0,0,232.29,25700.0,178900.0,2022-07-29,1
SC-00020,Plan 3000,4,Bajo,-17.790777,-63.123117,7.09,6.75,Casa,185,128,3,3,2,0,20,Regular,Hormigón armado,Oeste,0,1,1,0,0,261.06,33500.0,233200.0,2023-06-03,1
SC-00021,El Trompillo,2,Medio-Alto,-17.784178,-63.206791,2.75,6.01,Local Comercial,172,115,3,3,2,3,10,Regular,Steel frame,Norte,0,0,1,0,0,544.57,64600.0,449600.0,2023-11-15,0
SC-00022,Casco Viejo,1,Medio,-17.791337,-63.193404,2.13,6.81,Terreno,201,0,0,0,0,0,0,Bueno,Hormigón armado,Sur,0,0,1,0,0,320.53,63900.0,444700.0,2024-01-31,1
SC-00023,Casco Viejo,1,Medio,-17.787091,-63.167847,1.95,6.34,Departamento,138,132,3,1,1,2,21,Bueno,Adobe,Norte,0,0,1,0,0,392.06,52800.0,367500.0,2022-04-05,1
SC-00024,Palermo,3,Medio,-17.783974,-63.184455,0.37,5.99,Casa,370,151,4,2,3,1,16,Bueno,Hormigón armado,Sur,0,0,1,0,0,314.06,47400.0,329900.0,2023-12-09,0
SC-00025,Av. Banzer (norte),4,Medio-Alto,-17.717752,-63.189813,8.07,1.36,Oficina,321,173,6,2,2,0,8,Malo,Mixto,Oeste,0,0,0,0,0,248.01,42000.0,292300.0,2023-11-30,1
SC-00026,Urbarí,2,Alto,-17.75543,-63.202738,5.25,2.82,Terreno,189,0,0,0,0,0,0,Bueno,Adobe,Este,0,0,0,0,1,417.49,78800.0,548400.0,2024-03-30,0
SC-00027,Beni (zona norte),3,Medio-Alto,-17.748031,-63.170994,5.04,2.0,Casa,438,290,4,4,3,1,47,Malo,Mixto,Oeste,0,1,1,0,1,276.96,79300.0,551900.0,2022-07-24,0
SC-00028,Warnes,6,Bajo,-17.513377,-63.176404,30.52,24.05,Casa,453,239,3,2,1,1,42,Excelente,Mixto,Noroeste,0,1,0,0,0,87.0,21500.0,149600.0,2023-10-19,1
SC-00029,Sur (Doble Vía La Guardia),4,Medio,-17.828205,-63.170645,6.22,10.9,Oficina,358,172,4,1,1,1,16,Excelente,Ladrillo,Noroeste,0,0,1,0,0,209.03,36000.0,250600.0,2024-01-17,0
SC-00030,Cotoca (periurbano),6,Bajo,-17.794898,-63.063874,13.81,7.2,Penthouse,92,90,1,2,1,2,28,Bueno,Ladrillo,Oeste,0,0,0,1,0,221.99,19800.0,137800.0,2023-01-08,1
SC-00031,El Trompillo,2,Medio-Alto,-17.7902,-63.182483,0.85,6.68,Local Comercial,267,111,6,3,3,2,7,Bueno,Ladrillo,Este,0,0,0,0,0,842.92,91300.0,635400.0,2022-07-16,1
SC-00032,El Trompillo,2,Medio-Alto,-17.802744,-63.204207,4.54,8.07,Terreno,202,0,0,0,0,0,0,Bueno,Ladrillo,Norte,0,0,1,0,1,449.59,91100.0,634100.0,2022-11-08,1
SC-00033,Cotoca (periurbano),6,Bajo,-17.796387,-63.044604,16.01,7.37,Departamento,65,62,3,2,1,1,14,Regular,Adobe,Este,0,0,1,0,0,170.37,11000.0,76600.0,2023-11-06,1
SC-00034,Av. Banzer (norte),4,Medio-Alto,-17.718043,-63.178807,7.55,1.33,Departamento,194,177,3,1,1,0,26,Excelente,Hormigón armado,Suroeste,0,0,1,1,1,355.2,60700.0,422500.0,2023-09-18,0
SC-00035,Equipetrol Sur,3,Alto,-17.756635,-63.192883,4.08,2.96,Departamento,130,118,2,3,1,1,22,Regular,Mixto,Sur,0,0,0,0,1,672.7,77200.0,537300.0,2024-03-08,1
SC-00036,Las Palmas,2,Alto-Medio,-17.744523,-63.195272,5.67,1.61,Duplex,144,89,6,4,1,1,35,Bueno,Ladrillo,Noroeste,0,1,0,0,1,682.51,61700.0,429400.0,2024-02-13,0
SC-00037,Norte (Radial 26),4,Medio-Alto,-17.72768,-63.15581,8.91,0.26,Terreno,145,0,0,0,0,0,0,Regular,Mixto,Suroeste,0,0,0,0,0,242.95,34400.0,239400.0,2023-04-06,1
SC-00038,Hamacas,2,Alto-Medio,-17.739156,-63.192921,6.02,1.02,Departamento,124,117,4,3,1,1,7,Malo,Hormigón armado,Este,0,0,1,1,1,531.05,62900.0,437800.0,2022-08-25,1
SC-00039,Las Palmas,2,Alto-Medio,-17.769271,-63.195636,2.97,4.36,Casa,209,144,5,4,2,3,34,Regular,Ladrillo,Sureste,0,1,0,0,0,552.19,77800.0,541500.0,2023-05-04,1
SC-00040,Villa 1ro de Mayo,4,Bajo,-17.796382,-63.132554,6.71,7.37,Terreno,1252,0,0,0,0,0,0,En construcción,Hormigón armado,Oeste,0,0,1,0,0,82.17,107400.0,747500.0,2023-05-15,1
SC-00041,Cotoca (periurbano),6,Bajo,-17.814167,-63.056447,16.73,9.34,Casa,378,154,4,4,3,3,10,Bueno,Adobe,Norte,0,0,1,0,0,272.08,43400.0,302100.0,2022-03-27,1
SC-00042,Urbarí,2,Alto,-17.768296,-63.181915,1.64,4.25,Departamento,167,148,1,2,1,1,12,Regular,Mixto,Noreste,1,0,0,0,1,565.74,81000.0,563800.0,2024-05-04,1
SC-00043,Equipetrol Norte,3,Alto,-17.767797,-63.18145,1.75,4.2,Departamento,143,141,3,1,1,0,20,Bueno,Hormigón armado,Este,0,0,1,0,0,929.21,137400.0,956300.0,2022-09-02,1
SC-00044,Sur (Doble Vía La Guardia),4,Medio,-17.813925,-63.179215,3.73,9.32,Departamento,252,223,2,2,1,1,22,Regular,Ladrillo,Sur,0,0,1,1,0,249.97,56800.0,395300.0,2024-03-07,0
SC-00045,Av. Paurito,5,Medio-Bajo,-17.79966,-63.219955,5.86,7.73,Casa,581,258,2,3,3,3,43,Excelente,Ladrillo,Oeste,0,1,1,0,0,294.51,79100.0,550500.0,2022-04-15,1
SC-00046,Plan 3000,4,Bajo,-17.793941,-63.126126,7.12,7.1,Terreno,170,0,0,0,0,0,0,Regular,Ladrillo,Norte,0,0,1,0,0,176.22,30400.0,211600.0,2022-12-22,1
SC-00047,Sur (Doble Vía La Guardia),4,Medio,-17.833922,-63.176032,6.28,11.54,Casa,236,140,4,1,2,0,31,Malo,Hormigón armado,Este,0,1,0,0,0,107.08,15100.0,105100.0,2023-03-22,1
SC-00048,Av. Banzer (norte),4,Medio-Alto,-17.727275,-63.196085,7.67,0.3,Terreno,386,0,0,0,0,0,0,Regular,Hormigón armado,Noreste,0,0,1,0,0,322.7,121900.0,848400.0,2022-11-27,0
SC-00049,Palermo,3,Medio,-17.774313,-63.19044,1.86,4.92,Casa,197,105,5,2,2,4,36,Bueno,Hormigón armado,Suroeste,0,0,0,0,0,361.31,36900.0,256800.0,2022-08-06,1
SC-00050,Casco Viejo,1,Medio,-17.778877,-63.175217,1.17,5.43,Casa,176,139,6,3,3,4,0,Regular,Hormigón armado,Oeste,0,0,0,0,0,433.73,60500.0,421100.0,2023-12-09,1
SC-00051,Barrio Sirari,3,Medio-Alto,-17.746831,-63.200646,5.99,1.87,Departamento,116,111,1,1,1,0,9,Bueno,Ladrillo,Noroeste,0,0,0,1,0,627.73,68100.0,474000.0,2023-03-12,0
SC-00052,Av. Cristo Redentor,3,Medio,-17.763121,-63.167731,3.71,3.68,Departamento,131,131,4,2,1,1,9,Bueno,Ladrillo,Este,0,0,0,0,0,501.12,67900.0,472600.0,2022-07-16,1
SC-00053,Warnes,6,Bajo,-17.501562,-63.162194,33.33,25.36,Terreno,200,0,0,0,0,0,0,Bueno,Hormigón armado,Sur,0,0,1,0,0,88.74,17800.0,123900.0,2024-05-02,1
SC-00054,Hamacas,2,Alto-Medio,-17.746369,-63.189648,4.87,1.82,Casa,219,140,2,2,2,0,2,Bueno,Mixto,Noreste,0,0,0,0,0,908.9,130300.0,906900.0,2023-04-26,1
SC-00055,Plan 3000,4,Bajo,-17.811518,-63.14862,6.69,9.05,Duplex,128,77,4,4,1,3,4,Regular,Hormigón armado,Noreste,0,1,1,0,0,284.06,20800.0,144800.0,2022-03-29,0
SC-00056,Urbarí,2,Alto,-17.76389,-63.195775,3.58,3.76,Terreno,183,0,0,0,0,0,0,Bueno,Hormigón armado,Suroeste,0,0,1,0,1,390.66,74000.0,515000.0,2022-11-01,0
SC-00057,Av. Paurito,5,Medio-Bajo,-17.803045,-63.216524,5.87,8.11,Casa,294,162,6,1,3,0,47,Bueno,Ladrillo,Este,0,0,0,0,0,129.8,20900.0,145500.0,2022-09-03,1
SC-00058,Equipetrol Sur,3,Alto,-17.759224,-63.184906,2.95,3.24,Casa,209,103,5,4,2,1,2,Bueno,Hormigón armado,Oeste,1,1,1,0,1,732.25,74500.0,518500.0,2023-03-12,1
SC-00059,Hamacas,2,Alto-Medio,-17.762205,-63.190427,3.2,3.57,Casa,284,201,4,2,1,1,3,Bueno,Hormigón armado,Noreste,0,1,1,0,0,523.33,106700.0,742600.0,2023-12-18,1
SC-00060,Casco Viejo,1,Medio,-17.778701,-63.183252,0.61,5.41,Departamento,180,158,4,1,1,0,19,Regular,Hormigón armado,Oeste,0,0,1,0,0,353.65,55300.0,384900.0,2023-11-22,0
SC-00061,Av. Cristo Redentor,3,Medio,-17.778126,-63.177919,0.97,5.34,Duplex,393,231,4,1,1,4,30,Bueno,Ladrillo,Suroeste,0,0,1,0,0,480.17,115400.0,803200.0,2022-04-04,1
SC-00062,Cotoca (periurbano),6,Bajo,-17.80251,-63.065864,14.44,8.05,Casa,226,170,2,2,2,3,26,Regular,Ladrillo,Suroeste,0,1,1,0,0,77.38,12600.0,87700.0,2022-04-01,1
SC-00063,Plan 3000,4,Bajo,-17.811455,-63.129098,8.75,9.04,Duplex,314,255,5,1,3,3,34,Bueno,Mixto,Suroeste,0,1,0,0,0,253.39,63200.0,439900.0,2024-02-18,1
SC-00064,Casco Viejo,1,Medio,-17.773896,-63.188539,1.7,4.87,Casa,262,130,4,4,3,0,31,Regular,Ladrillo,Noreste,0,1,1,0,0,431.92,57500.0,400200.0,2023-07-19,1
SC-00065,Cotoca (periurbano),6,Bajo,-17.811839,-63.044708,17.71,9.08,Casa,486,216,2,4,1,1,41,Bueno,Hormigón armado,Suroeste,0,1,1,0,0,208.14,44600.0,310400.0,2023-04-29,1
SC-00066,Av. Cristo Redentor,3,Medio,-17.77113,-63.157474,3.91,4.57,Departamento,87,83,2,1,1,1,8,Bueno,Hormigón armado,Noreste,0,0,0,0,0,496.65,42700.0,297200.0,2024-05-07,1
SC-00067,Av. Paurito,5,Medio-Bajo,-17.805399,-63.208134,5.25,8.37,Departamento,106,93,2,2,1,1,17,Regular,Hormigón armado,Noroeste,0,0,0,0,0,189.18,18200.0,126700.0,2024-06-09,1
SC-00068,Sur (Doble Vía La Guardia),4,Medio,-17.832261,-63.180421,5.63,11.35,Departamento,129,122,2,2,1,1,1,Regular,Hormigón armado,Este,0,0,1,0,0,150.66,19100.0,132900.0,2023-05-23,0
SC-00069,Urbarí,2,Alto,-17.764824,-63.187429,2.59,3.87,Duplex,761,427,4,1,2,4,6,En construcción,Hormigón armado,Noreste,0,1,0,0,0,564.93,237100.0,1650200.0,2022-12-13,1
SC-00070,Villa 1ro de Mayo,4,Bajo,-17.810167,-63.158273,5.52,8.9,Casa,622,279,4,4,2,3,40,Excelente,Ladrillo,Noreste,0,0,0,0,0,229.93,61500.0,428000.0,2022-08-21,1
SC-00071,Cotoca (periurbano),6,Bajo,-17.81871,-63.045155,18.43,9.85,Casa,137,58,2,4,1,2,44,Regular,Hormigón armado,Noroeste,0,0,0,0,0,94.36,5300.0,36900.0,2023-03-18,1
SC-00072,Av. Banzer (norte),4,Medio-Alto,-17.723971,-63.194817,7.91,0.67,Departamento,244,223,2,1,1,0,5,Bueno,Ladrillo,Oeste,0,0,1,1,0,373.89,79900.0,556100.0,2023-04-18,1
SC-00073,Warnes,6,Bajo,-17.493401,-63.170772,33.33,26.26,Terreno,342,0,0,0,0,0,0,Bueno,Hormigón armado,Este,0,0,1,0,0,69.51,22800.0,158700.0,2022-03-17,1
SC-00074,Plan 3000,4,Bajo,-17.78542,-63.127399,6.04,6.15,Departamento,165,156,4,3,1,1,8,Bueno,Hormigón armado,Oeste,0,0,1,1,0,291.82,47600.0,331300.0,2023-01-26,1
SC-00075,Av. Cristo Redentor,3,Medio,-17.756809,-63.176664,3.47,2.98,Penthouse,92,82,3,1,1,2,26,Malo,Mixto,Norte,0,0,0,1,0,290.84,23700.0,165000.0,2023-09-13,1
SC-00076,Palermo,3,Medio,-17.791311,-63.189435,1.71,6.81,Local Comercial,271,147,3,3,1,1,40,Regular,Ladrillo,Este,0,0,1,0,0,175.56,25700.0,178900.0,2023-10-06,1
SC-00077,Norte (Radial 26),4,Medio-Alto,-17.723754,-63.176429,7.17,0.69,Casa,419,193,5,1,3,1,23,Bueno,Hormigón armado,Noroeste,0,1,0,0,0,460.38,93000.0,647300.0,2023-06-28,1
SC-00078,Casco Viejo,1,Medio,-17.797635,-63.167904,3.11,7.51,Casa,252,108,5,3,3,0,21,Regular,Hormigón armado,Sureste,0,1,0,0,0,289.31,32700.0,227600.0,2024-05-16,0
SC-00079,Villa 1ro de Mayo,4,Bajo,-17.795921,-63.144307,5.42,7.32,Terreno,280,0,0,0,0,0,0,Bueno,Hormigón armado,Noreste,0,0,0,0,0,93.61,26400.0,183700.0,2023-08-22,1
SC-00080,Norte (Radial 26),4,Medio-Alto,-17.716173,-63.167471,8.95,1.53,Departamento,121,111,2,2,1,2,0,Bueno,Hormigón armado,Suroeste,0,0,1,0,0,552.25,61000.0,424600.0,2023-12-19,1
SC-00081,Cotoca (periurbano),6,Bajo,-17.809089,-63.057399,16.07,8.78,Casa,311,155,2,3,2,0,7,Bueno,Hormigón armado,Sureste,0,1,0,0,0,153.07,23000.0,160100.0,2023-08-25,1
SC-00082,Las Palmas,2,Alto-Medio,-17.740414,-63.194055,6.0,1.16,Departamento,176,162,1,2,1,1,19,Bueno,Hormigón armado,Noroeste,0,0,0,0,1,439.6,74600.0,519200.0,2022-04-12,0
SC-00083,Villa 1ro de Mayo,4,Bajo,-17.797672,-63.135324,6.56,7.51,Local Comercial,142,63,4,1,2,1,17,En construcción,Mixto,Sur,0,0,1,0,0,194.43,11800.0,82100.0,2023-11-10,1
SC-00084,Norte (Radial 26),4,Medio-Alto,-17.722453,-63.157018,9.36,0.84,Duplex,480,197,2,3,1,4,8,Regular,Mixto,Oeste,0,1,1,0,1,534.31,106500.0,741200.0,2022-12-03,0
SC-00085,Los Pozos,3,Medio,-17.787176,-63.168573,1.88,6.35,Departamento,120,107,3,1,1,2,4,Regular,Hormigón armado,Norte,0,0,0,1,0,395.91,40900.0,284700.0,2023-01-02,0
SC-00086,Hamacas,2,Alto-Medio,-17.748939,-63.195555,5.21,2.1,Casa,349,142,3,3,1,3,8,Bueno,Hormigón armado,Oeste,0,0,0,0,0,814.7,119600.0,832400.0,2023-09-22,1
SC-00087,Los Pozos,3,Medio,-17.775101,-63.163337,2.85,5.01,Oficina,360,155,6,3,2,0,41,Bueno,Ladrillo,Suroeste,0,0,0,0,0,332.26,54100.0,376500.0,2023-12-31,0
SC-00088,Equipetrol Sur,3,Alto,-17.77058,-63.186484,1.85,4.5,Casa,352,160,6,2,1,2,8,Regular,Hormigón armado,Sureste,0,1,1,0,1,1052.75,174300.0,1213100.0,2022-04-12,0
SC-00089,Urbarí,2,Alto,-17.774255,-63.206593,3.57,4.91,Terreno,108,0,0,0,0,0,0,Bueno,Mixto,Sureste,0,0,1,0,0,615.56,67300.0,468400.0,2022-12-14,0
SC-00090,Villa 1ro de Mayo,4,Bajo,-17.80183,-63.144395,6.06,7.97,Terreno,337,0,0,0,0,0,0,Bueno,Hormigón armado,Este,0,0,0,0,0,167.44,56500.0,393200.0,2023-12-05,0
SC-00091,Equipetrol Sur,3,Alto,-17.77398,-63.199137,2.81,4.88,Oficina,345,179,2,4,1,2,47,Bueno,Hormigón armado,Noroeste,0,0,1,0,1,811.53,143900.0,1001500.0,2024-06-13,1
SC-00092,Los Pozos,3,Medio,-17.798611,-63.175909,2.38,7.62,Oficina,637,292,2,3,3,2,19,Bueno,Hormigón armado,Sur,0,0,0,0,0,370.77,110500.0,769100.0,2022-12-25,0
SC-00093,Villa 1ro de Mayo,4,Bajo,-17.814552,-63.14458,7.46,9.39,Terreno,87,0,0,0,0,0,0,Regular,Mixto,Norte,0,0,1,0,0,121.28,11000.0,76600.0,2023-09-16,0
SC-00094,Palermo,3,Medio,-17.767129,-63.164514,3.61,4.12,Casa,750,338,3,3,3,2,48,Bueno,Hormigón armado,Sureste,0,0,0,0,0,242.55,83000.0,577700.0,2022-03-13,1
SC-00095,Norte (Radial 26),4,Medio-Alto,-17.725137,-63.165998,8.11,0.54,Casa,126,70,6,2,2,3,26,Regular,Ladrillo,Sur,0,1,0,0,0,489.56,34200.0,238000.0,2022-02-23,1
SC-00096,Los Pozos,3,Medio,-17.801159,-63.175443,2.71,7.9,Casa,242,160,2,3,2,3,42,Bueno,Mixto,Sur,0,1,0,0,0,179.88,27700.0,192800.0,2022-12-20,1
SC-00097,Casco Viejo,1,Medio,-17.771096,-63.182781,1.4,4.56,Terreno,305,0,0,0,0,0,0,Regular,Hormigón armado,Sureste,0,0,0,0,0,200.92,60300.0,419700.0,2023-09-06,1
SC-00098,Hamacas,2,Alto-Medio,-17.761774,-63.202932,4.57,3.53,Local Comercial,213,103,3,3,2,0,20,Bueno,Ladrillo,Noroeste,1,0,1,0,1,545.94,54500.0,379300.0,2022-03-15,1
SC-00099,Barrio Sirari,3,Medio-Alto,-17.75381,-63.192072,4.3,2.64,Departamento,80,79,4,1,1,1,27,Bueno,Hormigón armado,Norte,0,0,1,0,0,328.53,25900.0,180300.0,2022-11-29,1
SC-00100,El Trompillo,2,Medio-Alto,-17.786018,-63.188163,0.99,6.22,Departamento,95,88,3,1,1,0,13,Bueno,Hormigón armado,Noroeste,0,0,0,0,1,622.4,52200.0,363300.0,2022-08-15,1
SC-00101,Las Palmas,2,Alto-Medio,-17.758886,-63.200464,4.63,3.21,Departamento,172,155,1,3,1,0,16,Regular,Hormigón armado,Este,0,0,0,0,0,410.54,61800.0,430100.0,2022-09-20,1
SC-00102,Norte (Radial 26),4,Medio-Alto,-17.721124,-63.162576,8.92,0.99,Terreno,169,0,0,0,0,0,0,Regular,Hormigón armado,Suroeste,0,0,1,0,1,310.33,51800.0,360500.0,2023-11-29,0
SC-00103,Av. Cristo Redentor,3,Medio,-17.770578,-63.164021,3.28,4.5,Departamento,149,138,3,3,1,0,10,Regular,Mixto,Norte,0,0,0,0,0,323.13,42800.0,297900.0,2022-12-27,1
SC-00104,Plan 3000,4,Bajo,-17.814398,-63.140338,7.89,9.37,Departamento,130,125,1,2,1,1,26,Malo,Ladrillo,Sureste,0,0,0,0,0,99.69,12300.0,85600.0,2023-04-19,1
SC-00105,Av. Paurito,5,Medio-Bajo,-17.797192,-63.214627,5.02,7.46,Terreno,166,0,0,0,0,0,0,Malo,Ladrillo,Oeste,0,0,0,0,0,78.73,13600.0,94700.0,2022-11-26,1
SC-00106,Av. Banzer (norte),4,Medio-Alto,-17.728887,-63.179395,6.28,0.12,Duplex,214,96,5,1,2,0,45,Bueno,Hormigón armado,Este,0,1,0,0,1,398.72,36700.0,255400.0,2023-01-08,1
SC-00107,Casco Viejo,1,Medio,-17.778622,-63.179877,0.71,5.4,Departamento,94,92,3,3,1,0,19,Excelente,Hormigón armado,Sureste,0,0,1,0,0,381.05,34600.0,240800.0,2022-10-18,1
SC-00108,Beni (zona norte),3,Medio-Alto,-17.759883,-63.186947,3.09,3.32,Duplex,602,362,6,2,2,4,5,Regular,Ladrillo,Este,0,0,1,0,1,643.25,235300.0,1637700.0,2023-09-02,1
SC-00109,Equipetrol Sur,3,Alto,-17.772799,-63.173097,2.07,4.75,Departamento,94,92,3,1,1,2,21,Regular,Hormigón armado,Noroeste,0,0,1,0,1,502.23,45200.0,314600.0,2022-01-19,1
SC-00110,Las Palmas,2,Alto-Medio,-17.740529,-63.211639,7.85,1.17,Casa,157,120,5,2,1,1,8,Malo,Mixto,Norte,1,0,0,0,0,493.7,58700.0,408600.0,2023-11-09,1
SC-00111,Los Pozos,3,Medio,-17.799873,-63.159941,4.2,7.76,Casa,463,199,5,2,1,4,11,Bueno,Hormigón armado,Oeste,0,0,0,0,0,431.5,83800.0,583200.0,2023-03-31,1
SC-00112,Los Pozos,3,Medio,-17.787852,-63.171601,1.64,6.42,Terreno,233,0,0,0,0,0,0,Bueno,Adobe,Suroeste,0,0,0,0,0,312.61,73300.0,510200.0,2024-05-05,1
SC-00113,Sur (Doble Vía La Guardia),4,Medio,-17.827728,-63.186555,5.45,10.85,Departamento,88,84,4,2,1,1,24,Bueno,Hormigón armado,Oeste,0,0,1,0,0,223.04,18700.0,130200.0,2024-03-31,1
SC-00114,Beni (zona norte),3,Medio-Alto,-17.762369,-63.175566,2.97,3.59,Casa,435,218,5,3,3,4,6,Bueno,Adobe,Este,0,0,0,0,0,443.73,97500.0,678600.0,2024-04-30,1
SC-00115,El Trompillo,2,Medio-Alto,-17.780301,-63.197329,1.92,5.58,Casa,193,118,5,3,1,0,26,Excelente,Hormigón armado,Noroeste,0,1,0,0,1,479.78,54100.0,376500.0,2022-04-12,0
SC-00116,Norte (Radial 26),4,Medio-Alto,-17.714555,-63.162193,9.69,1.71,Terreno,252,0,0,0,0,0,0,Malo,Ladrillo,Este,0,0,0,0,1,261.91,64400.0,448200.0,2024-02-17,1
SC-00117,Cotoca (periurbano),6,Bajo,-17.798081,-63.039049,16.78,7.56,Casa,198,114,2,1,2,1,13,Bueno,Hormigón armado,Noreste,0,1,1,0,0,162.35,19300.0,134300.0,2022-09-01,1
SC-00118,Equipetrol Norte,3,Alto,-17.766563,-63.195005,3.2,4.06,Departamento,296,291,4,1,1,1,3,Bueno,Hormigón armado,Noroeste,0,0,0,0,1,1145.87,348100.0,2422800.0,2022-09-04,1
SC-00119,Las Palmas,2,Alto-Medio,-17.746142,-63.208951,6.94,1.79,Terreno,328,0,0,0,0,0,0,Regular,Mixto,Norte,0,0,0,0,0,485.55,153500.0,1068400.0,2023-02-04,0
SC-00120,Equipetrol Norte,3,Alto,-17.752044,-63.181308,3.51,2.45,Departamento,212,207,3,2,1,0,23,Excelente,Ladrillo,Noroeste,0,0,0,1,0,741.07,158200.0,1101100.0,2022-05-17,1
SC-00121,Av. Banzer (norte),4,Medio-Alto,-17.733692,-63.18312,5.59,0.41,Oficina,434,254,3,4,3,1,30,Bueno,Hormigón armado,Norte,0,0,1,1,0,593.95,149900.0,1043300.0,2024-03-21,1
SC-00122,Equipetrol Norte,3,Alto,-17.765034,-63.170013,3.26,3.89,Local Comercial,221,139,6,4,3,2,30,Malo,Hormigón armado,Noroeste,1,0,1,0,1,744.53,103500.0,720400.0,2022-10-07,1
