id_cliente,perfil_estimado,edad,genero,ingreso_mensual_bs,ingreso_mensual_usd_ref,presupuesto_max_usd,presupuesto_max_bs,fuente_contacto,dispositivo_principal,tipo_propiedad_buscada,zona_preferida_1,anillo_preferido,estrato_zona_preferida,zonas_visitadas_conteo,habitaciones_minimo,superficie_minima_m2,superficie_maxima_m2,precio_minimo_usd,precio_maximo_usd,precio_minimo_bs,precio_maximo_bs,necesita_garage,necesita_jardin,prefiere_amueblado,acepta_planos,propiedades_vistas,contactos_realizados,favoritos_guardados,dias_activo_plataforma,sesiones_totales,frecuencia_busqueda,vio_video_propiedad,solicito_visita,cerro_trato,score_engagement,tiempo_decision_dias,calificacion_atencion,fecha_registro
CLI-00011,Joven_prof,31,M,7603.0,1092.39,55000.0,382800.0,Instagram,Móvil,Departamento,Av. Cristo Redentor,3,Medio,2,3,280,507,30000.0,55000.0,208800.0,382800.0,0,1,0,0,23,0,20,64,123,Diaria,1,0,0,88.4,,,2023-02-27
CLI-00012,Joven_prof,28,F,5690.0,817.53,32000.0,222700.0,Instagram,Móvil,Penthouse,Plan 3000,4,Bajo,3,1,258,398,18000.0,32000.0,125300.0,222700.0,1,0,1,0,63,15,1,293,42,Mensual,1,1,0,91.1,,1.0,2024-03-25
CLI-00013,Jubilado,67,M,5922.0,850.86,59000.0,410600.0,Instagram,Tablet,Casa,Villa 1ro de Mayo,4,Bajo,4,3,191,578,32000.0,59000.0,222700.0,410600.0,1,1,0,0,35,6,4,13,191,Semanal,1,1,0,100.0,,4.0,2024-03-22
CLI-00014,Familia,37,M,13433.0,1930.03,31000.0,215800.0,Instagram,Tablet,Casa,Equipetrol Sur,3,Alto,2,4,260,338,17000.0,31000.0,118300.0,215800.0,1,0,0,0,42,13,6,339,149,Mensual,1,1,0,100.0,,1.0,2022-05-16
CLI-00015,Joven_prof,32,F,5103.0,733.19,26000.0,181000.0,Llamada telefónica,Móvil,Penthouse,Sur (Doble Vía La Guardia),4,Medio,3,2,288,382,14000.0,26000.0,97400.0,181000.0,1,0,1,0,49,13,20,248,49,Diaria,1,1,0,100.0,,5.0,2022-01-29
CLI-00016,Inversor,42,M,45215.0,6496.41,164000.0,1141400.0,Portal web,Móvil,Local Comercial,Barrio Sirari,3,Medio-Alto,1,2,266,666,90000.0,164000.0,626400.0,1141400.0,0,1,0,0,67,15,19,343,42,Ocasional,0,1,0,100.0,,3.0,2023-12-18
CLI-00017,Empresa,41,F,110703.0,15905.6,130000.0,904800.0,Visita directa,Móvil,Terreno,Warnes,6,Bajo,4,3,249,499,72000.0,130000.0,501100.0,904800.0,1,1,0,0,33,10,9,116,122,Semanal,0,1,0,100.0,,2.0,2022-08-29
CLI-00018,Empresa,52,M,48593.0,6981.75,158000.0,1099700.0,Llamada telefónica,Móvil,Oficina,Warnes,6,Bajo,4,4,101,207,87000.0,158000.0,605500.0,1099700.0,0,1,0,0,71,8,8,42,27,Varias veces/semana,1,1,0,83.6,,3.0,2024-03-12
CLI-00019,Jubilado,70,M,5007.0,719.4,78000.0,542900.0,Visita directa,Móvil,Departamento,Urbarí,2,Alto,4,3,130,489,43000.0,78000.0,299300.0,542900.0,1,0,0,1,28,11,7,155,182,Mensual,1,1,0,100.0,,1.0,2022-02-28
CLI-00020,Inversor,48,M,73107.0,10503.88,225000.0,1566000.0,Instagram,Móvil,Casa,Palermo,3,Medio,4,3,179,423,124000.0,225000.0,863000.0,1566000.0,1,1,0,0,78,15,12,302,197,Semanal,1,1,0,100.0,,3.0,2023-12-17
CLI-00021,Familia,39,F,5280.0,758.62,51000.0,355000.0,Visita directa,Móvil,Casa,Cotoca (periurbano),6,Bajo,3,2,78,154,28000.0,51000.0,194900.0,355000.0,1,1,0,0,36,10,4,260,130,Ocasional,0,1,0,95.0,,3.0,2023-12-11
CLI-00022,Familia,39,F,16227.0,2331.47,84000.0,584600.0,Instagram,Móvil,Duplex,Cotoca (periurbano),6,Bajo,1,1,211,314,46000.0,84000.0,320200.0,584600.0,0,0,0,0,66,1,2,121,151,Varias veces/semana,0,0,0,85.3,,5.0,2023-04-03
CLI-00023,Familia,44,M,7725.0,1109.91,64000.0,445400.0,Portal web,Desktop,Casa,Villa 1ro de Mayo,4,Bajo,1,3,170,377,35000.0,64000.0,243600.0,445400.0,0,0,1,0,75,4,14,60,142,Semanal,0,1,1,100.0,499.0,1.0,2024-01-20
CLI-00024,Joven_prof,29,M,4071.0,584.91,32000.0,222700.0,Llamada telefónica,Móvil,Departamento,Villa 1ro de Mayo,4,Bajo,4,3,248,357,18000.0,32000.0,125300.0,222700.0,1,0,0,1,80,5,12,347,8,Ocasional,1,1,1,81.4,54.0,4.0,2023-03-21
CLI-00025,Empresa,48,M,110598.0,15890.52,79000.0,549800.0,Visita directa,Desktop,Local Comercial,Equipetrol Sur,3,Alto,4,2,100,482,43000.0,79000.0,299300.0,549800.0,1,0,1,0,8,0,13,84,139,Ocasional,1,0,0,71.7,,,2023-07-17
CLI-00026,Familia,33,M,12981.0,1865.09,39000.0,271400.0,Portal web,Móvil,Duplex,Warnes,6,Bajo,3,4,136,345,21000.0,39000.0,146200.0,271400.0,1,1,0,1,32,3,6,113,83,Ocasional,1,0,0,61.9,,2.0,2023-07-15
CLI-00027,Inversor,44,F,79375.0,11404.45,48000.0,334100.0,Portal web,Desktop,Casa,Av. Banzer (norte),4,Medio-Alto,2,2,75,255,26000.0,48000.0,181000.0,334100.0,0,1,0,1,32,4,16,200,78,Diaria,0,1,0,83.4,,2.0,2022-10-31
CLI-00028,Familia,36,F,13025.0,1871.41,42000.0,292300.0,Instagram,Móvil,Casa,Palermo,3,Medio,3,3,92,287,23000.0,42000.0,160100.0,292300.0,1,1,1,0,64,5,17,221,36,Mensual,1,1,1,91.8,55.0,4.0,2023-09-12
CLI-00029,Familia,37,M,16472.0,2366.67,28000.0,194900.0,Portal web,Móvil,Casa,Hamacas,2,Alto-Medio,4,4,70,154,15000.0,28000.0,104400.0,194900.0,0,1,1,0,73,9,9,189,6,Diaria,0,1,0,83.3,,4.0,2023-10-15
CLI-00030,Inversor,45,F,42901.0,6163.94,80000.0,556800.0,Facebook,Móvil,Terreno,Hamacas,2,Alto-Medio,2,4,202,261,44000.0,80000.0,306200.0,556800.0,0,0,0,0,2,6,11,319,120,Mensual,1,1,0,77.0,,2.0,2022-09-13
CLI-00031,Empresa,36,F,100947.0,14503.88,314000.0,2185400.0,WhatsApp,Móvil,Local Comercial,Las Palmas,2,Alto-Medio,2,2,102,395,173000.0,314000.0,1204100.0,2185400.0,1,0,0,0,48,9,8,315,172,Semanal,0,1,0,100.0,,4.0,2024-04-10
CLI-00032,Joven_prof,31,F,4714.0,677.3,42000.0,292300.0,Llamada telefónica,Desktop,Departamento,Palermo,3,Medio,4,2,92,305,23000.0,42000.0,160100.0,292300.0,1,1,0,0,42,3,11,173,168,Diaria,0,0,0,100.0,,3.0,2023-05-24
CLI-00033,Joven_prof,30,F,8812.0,1266.09,30000.0,208800.0,Referido,Desktop,Departamento,El Trompillo,2,Medio-Alto,3,1,188,448,16000.0,30000.0,111400.0,208800.0,0,1,1,1,74,8,1,33,196,Ocasional,0,1,0,100.0,,5.0,2023-09-19
CLI-00034,Familia,30,M,9925.0,1426.01,81000.0,563800.0,Instagram,Móvil,Duplex,Av. Paurito,5,Medio-Bajo,1,4,163,537,45000.0,81000.0,313200.0,563800.0,1,0,0,0,32,7,5,327,198,Varias veces/semana,1,1,1,100.0,232.0,4.0,2022-09-14
CLI-00035,Jubilado,74,F,4693.0,674.28,56000.0,389800.0,WhatsApp,Móvil,Departamento,Av. Banzer (norte),4,Medio-Alto,2,2,251,559,31000.0,56000.0,215800.0,389800.0,1,1,0,0,50,7,5,15,82,Mensual,0,1,0,80.6,,4.0,2022-04-11
CLI-00036,Inversor,46,F,32924.0,4730.46,284000.0,1976600.0,Referido,Móvil,Casa,Beni (zona norte),3,Medio-Alto,4,1,202,517,156000.0,284000.0,1085800.0,1976600.0,0,0,1,0,69,4,5,2,78,Mensual,1,1,0,79.9,,2.0,2022-09-29
CLI-00037,Familia,32,F,7775.0,1117.1,54000.0,375800.0,Referido,Desktop,Casa,Av. Cristo Redentor,3,Medio,1,4,249,486,30000.0,54000.0,208800.0,375800.0,0,1,1,0,51,5,10,108,44,Semanal,0,1,0,73.7,,1.0,2023-03-29
CLI-00038,Inversor,41,F,33440.0,4804.6,281000.0,1955800.0,Facebook,Móvil,Casa,Av. Cristo Redentor,3,Medio,1,2,134,214,155000.0,281000.0,1078800.0,1955800.0,1,0,0,0,9,2,15,199,44,Semanal,1,0,0,53.7,,4.0,2023-11-04
CLI-00039,Empresa,49,M,103695.0,14898.71,658000.0,4579700.0,Llamada telefónica,Desktop,Terreno,Barrio Sirari,3,Medio-Alto,4,1,42,237,362000.0,658000.0,2519500.0,4579700.0,0,0,0,1,61,13,1,172,36,Ocasional,1,1,0,82.3,,1.0,2022-09-09
CLI-00040,Inversor,56,M,15306.0,2199.14,215000.0,1496400.0,WhatsApp,Móvil,Terreno,El Trompillo,2,Medio-Alto,1,1,245,510,118000.0,215000.0,821300.0,1496400.0,1,1,0,0,59,6,6,354,113,Semanal,1,1,0,93.4,,1.0,2023-09-25
CLI-00041,Joven_prof,24,M,4997.0,717.96,53000.0,368900.0,WhatsApp,Desktop,Penthouse,Casco Viejo,1,Medio,1,3,85,220,29000.0,53000.0,201800.0,368900.0,1,0,0,1,72,14,16,246,117,Semanal,0,1,0,100.0,,1.0,2023-10-28
CLI-00042,Inversor,54,M,49499.0,7111.93,182000.0,1266700.0,Instagram,Desktop,Casa,Warnes,6,Bajo,4,2,256,416,100000.0,182000.0,696000.0,1266700.0,0,1,1,1,61,5,19,41,175,Ocasional,1,1,0,100.0,,4.0,2023-07-29
CLI-00043,Familia,33,F,9634.0,1384.2,71000.0,494200.0,Llamada telefónica,Tablet,Duplex,Av. Banzer (norte),4,Medio-Alto,3,2,267,483,39000.0,71000.0,271400.0,494200.0,1,1,1,1,54,0,20,29,156,Ocasional,1,0,0,100.0,,,2023-05-15
CLI-00044,Inversor,50,F,63733.0,9157.04,182000.0,1266700.0,Instagram,Móvil,Departamento,Av. Cristo Redentor,3,Medio,1,3,182,417,100000.0,182000.0,696000.0,1266700.0,1,0,0,0,1,15,15,82,149,Semanal,0,1,0,100.0,,3.0,2024-06-04
CLI-00045,Inversor,55,M,56682.0,8143.97,158000.0,1099700.0,Facebook,Móvil,Local Comercial,Beni (zona norte),3,Medio-Alto,1,4,77,440,87000.0,158000.0,605500.0,1099700.0,1,1,1,1,47,6,4,134,46,Diaria,1,1,0,63.3,,4.0,2024-06-11
CLI-00046,Empresa,32,F,93058.0,13370.4,725000.0,5046000.0,Portal web,Móvil,Terreno,Sur (Doble Vía La Guardia),4,Medio,2,3,145,538,399000.0,725000.0,2777000.0,5046000.0,1,1,0,0,60,1,20,115,103,Varias veces/semana,0,0,0,100.0,,5.0,2022-05-17
CLI-00047,Familia,28,F,5664.0,813.79,26000.0,181000.0,WhatsApp,Móvil,Casa,Barrio Sirari,3,Medio-Alto,2,3,85,258,14000.0,26000.0,97400.0,181000.0,1,0,1,0,72,4,16,274,126,Mensual,0,1,0,100.0,,5.0,2023-01-01
CLI-00048,Familia,30,M,13913.0,1998.99,55000.0,382800.0,Facebook,Móvil,Casa,Norte (Radial 26),4,Medio-Alto,2,1,88,330,30000.0,55000.0,208800.0,382800.0,1,0,1,0,45,0,3,144,17,Varias veces/semana,1,0,0,33.6,,,2022-08-24
CLI-00049,Familia,34,F,8661.0,1244.4,34000.0,236600.0,Llamada telefónica,Móvil,Duplex,Las Palmas,2,Alto-Medio,4,2,62,242,19000.0,34000.0,132200.0,236600.0,0,0,0,0,1,14,0,1,88,Varias veces/semana,1,1,0,68.9,,5.0,2023-02-05
CLI-00050,Empresa,39,M,79400.0,11408.05,311000.0,2164600.0,Visita directa,Móvil,Oficina,Av. Paurito,5,Medio-Bajo,2,2,93,398,171000.0,311000.0,1190200.0,2164600.0,1,0,1,1,33,0,17,105,108,Mensual,1,0,0,82.9,,,2022-03-17
CLI-00051,Familia,38,F,11603.0,1667.1,116000.0,807400.0,Visita directa,Desktop,Casa,Av. Cristo Redentor,3,Medio,2,4,196,546,64000.0,116000.0,445400.0,807400.0,0,0,0,0,22,11,15,280,180,Semanal,1,1,1,100.0,669.0,5.0,2022-08-04
CLI-00052,Familia,40,M,14857.0,2134.63,99000.0,689000.0,Visita directa,Móvil,Duplex,Beni (zona norte),3,Medio-Alto,1,1,269,624,54000.0,99000.0,375800.0,689000.0,0,1,0,0,55,7,20,206,167,Diaria,0,1,0,100.0,,3.0,2023-09-19
CLI-00053,Joven_prof,30,F,4307.0,618.82,23000.0,160100.0,Instagram,Desktop,Departamento,Barrio Sirari,3,Medio-Alto,1,3,138,331,13000.0,23000.0,90500.0,160100.0,1,1,0,1,53,8,9,150,195,Ocasional,1,1,0,100.0,,2.0,2022-07-25
CLI-00054,Familia,41,F,6381.0,916.81,117000.0,814300.0,Visita directa,Tablet,Duplex,Av. Cristo Redentor,3,Medio,1,3,266,316,64000.0,117000.0,445400.0,814300.0,1,1,1,1,17,14,5,16,101,Diaria,1,1,0,90.8,,3.0,2022-12-25
CLI-00055,Familia,50,M,13868.0,1992.53,17000.0,118300.0,Visita directa,Móvil,Duplex,Equipetrol Sur,3,Alto,3,2,216,462,9000.0,17000.0,62600.0,118300.0,0,0,1,0,26,15,13,328,56,Varias veces/semana,1,1,0,100.0,,4.0,2022-10-26
CLI-00056,Joven_prof,23,M,6591.0,946.98,20000.0,139200.0,Referido,Móvil,Penthouse,Norte (Radial 26),4,Medio-Alto,1,4,260,641,11000.0,20000.0,76600.0,139200.0,0,1,0,1,63,0,11,327,99,Mensual,1,0,0,83.2,,,2023-04-27
CLI-00057,Familia,47,F,12019.0,1726.87,34000.0,236600.0,WhatsApp,Móvil,Duplex,Cotoca (periurbano),6,Bajo,2,1,141,373,19000.0,34000.0,132200.0,236600.0,1,1,1,1,2,14,17,44,78,Mensual,0,1,0,100.0,,3.0,2023-05-16
CLI-00058,Familia,42,F,5739.0,824.57,49000.0,341000.0,Referido,Móvil,Duplex,Av. Banzer (norte),4,Medio-Alto,4,2,96,475,27000.0,49000.0,187900.0,341000.0,0,0,0,1,66,3,1,237,114,Mensual,1,0,0,78.2,,4.0,2022-08-06
CLI-00059,Familia,43,M,8842.0,1270.4,90000.0,626400.0,Portal web,Móvil,Duplex,Warnes,6,Bajo,1,4,72,265,50000.0,90000.0,348000.0,626400.0,1,1,1,1,29,6,7,332,22,Ocasional,0,1,1,53.1,215.0,2.0,2024-02-14
CLI-00060,Joven_prof,27,F,6585.0,946.12,22000.0,153100.0,Instagram,Móvil,Departamento,Av. Paurito,5,Medio-Bajo,1,1,176,394,12000.0,22000.0,83500.0,153100.0,1,1,1,0,10,7,13,186,191,Diaria,1,1,1,100.0,104.0,3.0,2022-04-03
CLI-00061,Joven_prof,23,M,7208.0,1035.63,11000.0,76600.0,Visita directa,Desktop,Departamento,Equipetrol Norte,3,Alto,4,2,295,461,6000.0,11000.0,41800.0,76600.0,0,1,0,0,4,15,4,31,16,Ocasional,1,1,0,59.8,,5.0,2022-08-25
CLI-00062,Joven_prof,27,F,7805.0,1121.41,15000.0,104400.0,Instagram,Desktop,Departamento,Av. Cristo Redentor,3,Medio,4,3,174,398,8000.0,15000.0,55700.0,104400.0,0,1,0,1,23,7,10,343,82,Ocasional,0,1,1,77.1,671.0,3.0,2022-09-26
CLI-00063,Empresa,49,F,51571.0,7409.63,262000.0,1823500.0,Referido,Desktop,Oficina,Barrio Sirari,3,Medio-Alto,2,2,137,460,144000.0,262000.0,1002200.0,1823500.0,0,0,0,1,20,2,11,119,175,Semanal,1,0,0,90.5,,4.0,2023-03-29
CLI-00064,Familia,41,M,11056.0,1588.51,115000.0,800400.0,Referido,Desktop,Casa,Norte (Radial 26),4,Medio-Alto,2,3,193,567,63000.0,115000.0,438500.0,800400.0,0,0,1,1,11,3,6,280,153,Mensual,0,0,0,72.4,,4.0,2022-05-16
CLI-00065,Joven_prof,34,F,5610.0,806.03,21000.0,146200.0,Llamada telefónica,Desktop,Penthouse,Barrio Sirari,3,Medio-Alto,4,4,291,659,12000.0,21000.0,83500.0,146200.0,0,1,1,0,76,7,19,178,187,Varias veces/semana,1,1,0,100.0,,3.0,2023-03-25
CLI-00066,Joven_prof,25,M,4597.0,660.49,26000.0,181000.0,Facebook,Desktop,Departamento,Villa 1ro de Mayo,4,Bajo,1,2,299,383,14000.0,26000.0,97400.0,181000.0,1,1,0,1,55,2,9,153,128,Ocasional,1,0,0,89.9,,1.0,2023-06-21
CLI-00067,Familia,32,M,7367.0,1058.48,29000.0,201800.0,WhatsApp,Desktop,Duplex,Palermo,3,Medio,2,1,233,629,16000.0,29000.0,111400.0,201800.0,1,0,1,0,35,4,4,257,46,Semanal,1,1,0,51.3,,2.0,2024-04-30
CLI-00068,Familia,38,F,16146.0,2319.83,21000.0,146200.0,Llamada telefónica,Móvil,Casa,Las Palmas,2,Alto-Medio,4,2,87,450,12000.0,21000.0,83500.0,146200.0,0,0,0,1,40,13,12,36,170,Ocasional,1,1,0,100.0,,5.0,2022-11-09
CLI-00069,Inversor,57,M,61204.0,8793.68,85000.0,591600.0,Referido,Móvil,Terreno,Los Pozos,3,Medio,1,4,92,337,47000.0,85000.0,327100.0,591600.0,0,0,0,1,16,2,18,242,162,Semanal,0,0,0,98.6,,4.0,2022-02-15
CLI-00070,Inversor,59,F,15761.0,2264.51,245000.0,1705200.0,Llamada telefónica,Desktop,Departamento,Cotoca (periurbano),6,Bajo,3,3,92,309,135000.0,245000.0,939600.0,1705200.0,1,1,0,0,9,5,15,27,94,Semanal,0,1,0,77.7,,5.0,2022-10-06
CLI-00071,Inversor,35,M,60649.0,8713.94,120000.0,835200.0,Instagram,Móvil,Departamento,Av. Cristo Redentor,3,Medio,4,4,145,539,66000.0,120000.0,459400.0,835200.0,0,1,0,0,38,9,7,163,170,Semanal,0,1,0,100.0,,4.0,2022-08-01
CLI-00072,Familia,29,M,6031.0,866.52,53000.0,368900.0,WhatsApp,Desktop,Duplex,Barrio Sirari,3,Medio-Alto,1,2,292,537,29000.0,53000.0,201800.0,368900.0,1,0,1,0,65,13,10,220,200,Varias veces/semana,0,1,0,100.0,,3.0,2024-01-08
CLI-00073,Joven_prof,29,M,4679.0,672.27,52000.0,361900.0,Llamada telefónica,Desktop,Penthouse,Plan 3000,4,Bajo,2,4,204,516,29000.0,52000.0,201800.0,361900.0,1,1,1,1,7,9,11,67,162,Mensual,1,1,0,100.0,,5.0,2022-10-07
CLI-00074,Joven_prof,22,M,6943.0,997.56,53000.0,368900.0,WhatsApp,Desktop,Departamento,Casco Viejo,1,Medio,3,4,285,471,29000.0,53000.0,201800.0,368900.0,0,0,1,1,32,10,5,318,82,Ocasional,0,1,0,80.6,,4.0,2023-05-29
CLI-00075,Joven_prof,27,M,5784.0,831.03,34000.0,236600.0,Referido,Móvil,Penthouse,Casco Viejo,1,Medio,4,4,287,547,19000.0,34000.0,132200.0,236600.0,1,0,0,0,63,5,6,20,2,Varias veces/semana,1,1,0,59.1,,1.0,2022-10-18
CLI-00076,Familia,34,M,7472.0,1073.56,100000.0,696000.0,Portal web,Móvil,Duplex,Palermo,3,Medio,2,2,240,558,55000.0,100000.0,382800.0,696000.0,0,1,0,0,32,15,2,157,74,Mensual,1,1,0,87.2,,2.0,2022-03-06
CLI-00077,Joven_prof,27,F,3767.0,541.24,41000.0,285400.0,Portal web,Desktop,Departamento,Hamacas,2,Alto-Medio,2,2,149,443,23000.0,41000.0,160100.0,285400.0,1,1,0,0,37,5,15,248,118,Ocasional,1,1,0,98.9,,3.0,2022-06-19
CLI-00078,Inversor,59,F,40458.0,5812.93,186000.0,1294600.0,Portal web,Móvil,Terreno,Palermo,3,Medio,3,4,104,260,102000.0,186000.0,709900.0,1294600.0,0,0,0,1,60,5,3,328,16,Ocasional,0,1,1,55.8,650.0,5.0,2024-02-17
CLI-00079,Joven_prof,29,M,7350.0,1056.03,41000.0,285400.0,WhatsApp,Móvil,Penthouse,Casco Viejo,1,Medio,2,3,143,197,23000.0,41000.0,160100.0,285400.0,0,0,0,0,79,1,1,11,127,Diaria,1,0,0,82.6,,5.0,2022-04-01
CLI-00080,Empresa,54,F,44405.0,6380.03,449000.0,3125000.0,Llamada telefónica,Móvil,Terreno,Av. Banzer (norte),4,Medio-Alto,2,1,68,417,247000.0,449000.0,1719100.0,3125000.0,0,1,1,0,43,14,3,277,97,Mensual,1,1,0,98.6,,5.0,2023-10-29
CLI-00081,Joven_prof,29,M,6275.0,901.58,21000.0,146200.0,Llamada telefónica,Móvil,Departamento,Beni (zona norte),3,Medio-Alto,3,2,140,417,12000.0,21000.0,83500.0,146200.0,0,1,0,0,59,13,18,207,179,Varias veces/semana,0,1,0,100.0,,5.0,2022-11-22
CLI-00082,Jubilado,62,M,4109.0,590.37,77000.0,535900.0,WhatsApp,Desktop,Casa,Equipetrol Norte,3,Alto,1,1,65,189,42000.0,77000.0,292300.0,535900.0,1,0,0,0,62,11,19,97,172,Mensual,0,1,0,100.0,,5.0,2023-12-11
CLI-00083,Inversor,35,M,76678.0,11016.95,105000.0,730800.0,Instagram,Móvil,Local Comercial,Norte (Radial 26),4,Medio-Alto,4,2,143,543,58000.0,105000.0,403700.0,730800.0,0,1,0,0,55,11,13,246,10,Semanal,1,1,0,89.5,,1.0,2024-01-12
CLI-00084,Familia,37,F,16495.0,2369.97,107000.0,744700.0,Visita directa,Móvil,Duplex,Equipetrol Sur,3,Alto,1,3,87,238,59000.0,107000.0,410600.0,744700.0,1,0,1,0,27,7,19,195,155,Semanal,1,1,0,100.0,,5.0,2023-04-09
CLI-00085,Inversor,59,No especificado,31223.0,4486.06,192000.0,1336300.0,Referido,Móvil,Departamento,Cotoca (periurbano),6,Bajo,3,3,160,236,106000.0,192000.0,737800.0,1336300.0,0,0,0,0,9,2,10,343,82,Varias veces/semana,0,0,0,55.1,,1.0,2024-05-11
CLI-00086,Empresa,45,M,107644.0,15466.09,436000.0,3034600.0,Referido,Móvil,Local Comercial,Av. Banzer (norte),4,Medio-Alto,3,3,206,356,240000.0,436000.0,1670400.0,3034600.0,0,1,0,1,46,10,1,105,77,Mensual,1,1,0,78.1,,2.0,2023-02-08
CLI-00087,Empresa,46,M,60128.0,8639.08,538000.0,3744500.0,Visita directa,Móvil,Local Comercial,Casco Viejo,1,Medio,3,1,176,311,296000.0,538000.0,2060200.0,3744500.0,1,0,0,0,43,8,17,359,152,Semanal,1,1,0,100.0,,5.0,2024-04-05
CLI-00088,Familia,48,M,7242.0,1040.52,32000.0,222700.0,Facebook,Desktop,Duplex,Hamacas,2,Alto-Medio,2,4,46,104,18000.0,32000.0,125300.0,222700.0,0,1,0,1,80,2,2,136,167,Diaria,1,1,0,100.0,,1.0,2023-11-22
CLI-00089,Familia,33,No especificado,15824.0,2273.56,19000.0,132200.0,Facebook,Móvil,Casa,Beni (zona norte),3,Medio-Alto,1,3,278,478,10000.0,19000.0,69600.0,132200.0,0,1,0,1,56,11,1,312,6,Mensual,0,1,0,64.8,,2.0,2024-02-24
CLI-00090,Joven_prof,35,F,8724.0,1253.45,22000.0,153100.0,Facebook,Móvil,Departamento,Las Palmas,2,Alto-Medio,1,1,233,290,12000.0,22000.0,83500.0,153100.0,0,0,0,1,44,14,19,131,177,Mensual,1,1,0,100.0,,3.0,2022-05-11
CLI-00091,Inversor,55,M,46403.0,6667.1,177000.0,1231900.0,Visita directa,Móvil,Departamento,Equipetrol Norte,3,Alto,1,4,199,430,97000.0,177000.0,675100.0,1231900.0,0,0,1,0,78,13,20,321,58,Mensual,1,1,0,100.0,,4.0,2022-06-06
CLI-00092,Familia,33,M,14972.0,2151.15,108000.0,751700.0,Instagram,Móvil,Casa,Los Pozos,3,Medio,3,2,185,462,59000.0,108000.0,410600.0,751700.0,1,0,0,1,18,0,5,230,126,Mensual,1,0,0,56.8,,,2022-11-06
